,data
171,(2.304653285811753e-05-3.864433404565659e-05j)
172,(2.286630766690223e-05-3.8069487338976415e-05j)
173,(2.2687550091049502e-05-3.750416883918639e-05j)
174,(2.2510288031796222e-05-3.6948265280223325e-05j)
175,(2.2334533095857978e-05-3.64016607750095e-05j)
176,(2.216033350599389e-05-3.586423979395903e-05j)
177,(2.1987694866609786e-05-3.5335852886952956e-05j)
178,(2.1816640698446577e-05-3.4816392808334484e-05j)
179,(2.164717809449712e-05-3.430571917240055e-05j)
180,(2.147933436447147e-05-3.3803698919920855e-05j)
181,(2.1313102037012754e-05-3.331020874752788e-05j)
182,(2.1148496154310692e-05-3.282510622326651e-05j)
183,(2.0985524168182224e-05-3.234827142406527e-05j)
184,(2.082420387772288e-05-3.187954254091352e-05j)
185,(2.0664480201659785e-05-3.1418819557593736e-05j)
186,(2.050642392070756e-05-3.096594113616291e-05j)
187,(2.034999308442309e-05-3.0520794825683595e-05j)
188,(2.0195191174465776e-05-3.0083239594747013e-05j)
189,(2.0042025145272646e-05-2.965313527147906e-05j)
190,(1.9890482678697197e-05-2.9230372122324155e-05j)
191,(1.9740554508373975e-05-2.8814803383792054e-05j)
192,(1.9592244976607276e-05-2.8406309402040364e-05j)
193,(1.9445531689754603e-05-2.8004754446531166e-05j)
194,(1.93004168478339e-05-2.7610020980617378e-05j)
195,(1.915688583942199e-05-2.7221977985103507e-05j)
196,(1.9014940648709455e-05-2.684054570334382e-05j)
197,(1.887455192051135e-05-2.6465561928645798e-05j)
198,(1.8735714593098862e-05-2.6096878246395505e-05j)
199,(1.859842331608519e-05-2.5734433159119163e-05j)
200,(1.8462665141605328e-05-2.5378095299899428e-05j)
201,(1.8328416901525202e-05-2.5027740919281172e-05j)
202,(1.8195671603216113e-05-2.4683263181835002e-05j)
203,(1.806442276652831e-05-2.4344557810529466e-05j)
204,(1.793465373456371e-05-2.4011515784572168e-05j)
205,(1.7806352411220416e-05-2.3684016968061883e-05j)
206,(1.7679497728906313e-05-2.336197246322058e-05j)
207,(1.7554083736825987e-05-2.3045271877464302e-05j)
208,(1.7430089641834456e-05-2.2733824943443892e-05j)
209,(1.7307499930119263e-05-2.2427527234469835e-05j)
210,(1.7186307650796095e-05-2.212626016806496e-05j)
211,(1.706648437860281e-05-2.182995809008048e-05j)
212,(1.6948040562070332e-05-2.1538518320873834e-05j)
213,(1.6830947753732062e-05-2.1251842754033134e-05j)
214,(1.6715179127935187e-05-2.0969838317341782e-05j)
215,(1.6600740881500542e-05-2.069242140212424e-05j)
216,(1.6487601655512663e-05-2.041950706654916e-05j)
217,(1.637575835733429e-05-2.0151014043179316e-05j)
218,(1.6265194992648446e-05-1.988686468834544e-05j)
219,(1.6155899586145495e-05-1.962694052703995e-05j)
220,(1.604783205078064e-05-1.9371184893479665e-05j)
221,(1.5941012852849212e-05-1.9119540318079942e-05j)
222,(1.583540601490796e-05-1.8871898825878475e-05j)
223,(1.5731000954311014e-05-1.8628186064795216e-05j)
224,(1.5627798811923554e-05-1.8388359060317327e-05j)
225,(1.552576028496233e-05-1.8152311988650638e-05j)
226,(1.5424892549020797e-05-1.791997878708429e-05j)
227,(1.5325173075009246e-05-1.7691297551358787e-05j)
228,(1.5226587102290523e-05-1.7466198434235025e-05j)
229,(1.512911812184825e-05-1.7244618868872408e-05j)
230,(1.5032765517286606e-05-1.7026483879689636e-05j)
231,(1.4937485804278339e-05-1.681173599177299e-05j)
232,(1.4843314643187e-05-1.660028834571392e-05j)
233,(1.4750195846069403e-05-1.6392110045337915e-05j)
234,(1.4658139416257043e-05-1.6187143252466285e-05j)
235,(1.45671099947009e-05-1.5985303939203277e-05j)
236,(1.447710383950529e-05-1.578653409239905e-05j)
237,(1.4388142347110389e-05-1.559080725144213e-05j)
238,(1.430017014447671e-05-1.5398032773283887e-05j)
239,(1.4213189871714604e-05-1.5208174316327927e-05j)
240,(1.4127178455836109e-05-1.5021184986530045e-05j)
241,(1.4042138583136854e-05-1.4836999278955432e-05j)
242,(1.3958058854623978e-05-1.4655565409249505e-05j)
243,(1.3874920099576915e-05-1.4476830333620683e-05j)
244,(1.3792713853766347e-05-1.4300754434870555e-05j)
245,(1.3711427440554758e-05-1.4127289107435104e-05j)
246,(1.3631040503669922e-05-1.3956382121982358e-05j)
247,(1.3551553774859837e-05-1.3787984999069636e-05j)
248,(1.3472955771032247e-05-1.3622063909757287e-05j)
249,(1.3395223247725241e-05-1.3458564263046924e-05j)
250,(1.3318386344440825e-05-1.3297443968163236e-05j)
